number,title,createdAt,mergedAt,addedLineCount,removedLineCount,changedLineCount,fileCount,commitCount,commentCount,conversationCount,reviewerCount,approvalCount,participationCount,participationRate,timeFromReviewToMerge,averageResponseTime,averageTimeToApproval,averageLinesChangedPerCommit
32,feat(workflow): add PR stats,1740375488000,1740375640000,9,12,21,1,1,0,0,0,0,0,NaN,NaN,0,0,21
31,feat(github): add test pipe,1740128209000,1740139059000,21,2,23,1,2,0,0,0,0,0,NaN,NaN,0,0,11.5
30,fix(workflow): update auto assign action,1740127514000,1740128163000,1,0,1,1,1,0,0,0,0,0,NaN,NaN,0,0,1
29,fix(workflow): update github action,1740126794000,1740127269000,1,1,2,1,2,0,0,0,0,0,NaN,NaN,0,0,2
28,feat(github): add auto assign actions,1740125996000,1740126510000,17,0,17,1,2,0,0,0,0,0,NaN,NaN,0,0,8.5
26,feat: set initial env,1740022913000,1740038227000,34,0,34,2,2,0,0,0,0,0,NaN,NaN,0,0,17
25,test: for d day labeler,1739974258000,1740022750000,0,4,4,1,2,0,0,0,0,0,NaN,NaN,0,0,2
24,fix: update workflow add github token,1739973511000,1739973518000,2,0,2,1,1,0,0,0,0,0,NaN,NaN,0,0,2
23,fix: update labeler version,1739971076000,1739971084000,1,1,2,1,1,0,0,0,0,0,NaN,NaN,0,0,2
22,fix: labeler version,1739970487000,1739970494000,1,1,2,1,1,0,0,0,0,0,NaN,NaN,0,0,2
21,feat: add inputs to dispatch test,1739969842000,1739969848000,0,17,17,1,1,0,0,0,0,0,NaN,NaN,0,0,17
20,feat: add inputs to dispatch test,1739969619000,1739969626000,18,1,19,1,1,0,0,0,0,0,NaN,NaN,0,0,19
19,Dev,1739969421000,1739969429000,14,88,102,1,14,0,0,0,0,0,NaN,NaN,0,0,7.846153846153846
18,fix: delete unused code,1739969310000,1739969320000,0,63,63,1,1,0,0,0,0,0,NaN,NaN,0,0,63
17,fix: update workflow,1739944886000,1739969431000,14,88,102,1,13,0,0,0,0,0,NaN,NaN,0,0,7.846153846153846
16,fix: workflow of handling version,1739856617000,1739856667000,3,2,5,1,1,0,0,0,0,0,NaN,NaN,0,0,5
15,fix: workflow of docker version,1739856423000,1739856428000,9,13,22,1,1,0,0,0,0,0,NaN,NaN,0,0,22
14,feat: update workflow to add docker push,1739849770000,1739849788000,14,1,15,1,1,0,0,0,0,0,NaN,NaN,0,0,15
13,feat: update workflow to test,1739848071000,1739848078000,13,0,13,1,1,0,0,0,0,0,NaN,NaN,0,0,13
12,fix: update workflow,1739673417000,1739673505000,17,18,35,1,1,0,0,0,0,0,NaN,NaN,0,0,35
11,feat: add cmd main,1739672343000,1739672388000,57,0,57,1,1,0,0,0,0,0,NaN,NaN,0,0,57
10,fix: change Dockerfile directory,1739671071000,1739671153000,2,3,5,1,2,0,0,0,0,0,NaN,NaN,0,0,5
9,fix: change Dockerfile directory,1739670898000,1739670904000,2,2,4,1,1,0,0,0,0,0,NaN,NaN,0,0,4
8,feat: add package dependency,1739670200000,1739670205000,156,0,156,2,1,0,0,0,0,0,NaN,NaN,0,0,156
7,feat: add Dockerfile,1739537650000,1739537684000,19,0,19,1,1,0,0,0,0,0,NaN,NaN,0,0,19
6,fix: update versioning to avoid same version,1739537486000,1739537492000,7,1,8,1,1,0,0,0,0,0,NaN,NaN,0,0,8
5,chore: add log to check docker directory,1739537037000,1739537051000,3,0,3,1,1,0,0,0,0,0,NaN,NaN,0,0,3
4,chore: add log to check github token,1739536360000,1739536367000,1,0,1,1,1,0,0,0,0,0,NaN,NaN,0,0,1
3,fix: add github token for authentication,1739535377000,1739535383000,4,0,4,1,1,0,0,0,0,0,NaN,NaN,0,0,4
2,fix: add git user info to workflow,1739535117000,1739535131000,5,0,5,1,1,0,0,0,0,0,NaN,NaN,0,0,5
1,feat: update workflow config,1739534797000,1739534809000,54,0,54,2,1,0,0,0,0,0,NaN,NaN,0,0,54
